name,asset_idx,asset,family,lookback,mode,lag_signal,threshold,full_mean_pl,full_std_pl,full_sharpe,full_score,full_worst_day,roll_mean_score,roll_median_score,roll_min_score,roll_neg_count,roll_positive_count,corr_to_market,vol_window,z_window,leader,lag,train_corr,abs_corr_to_market
GARI_absolute_return_w60_reversal_cur,29,GARI,absolute_return,60.0,reversal,False,0.0,21.504881759999996,222.93688197639673,1.5251941843658323,15.039615116161366,-536.239133000001,6.532165267033198,2.6930483907164264,0.0007310919040278249,0,15,-0.06401590215939311,,,,,,0.06401590215939311
CUBO_relative_return_w40_momentum_cur,14,CUBO,relative_return,40.0,momentum,False,0.0,14.245817652000053,158.89824895100293,1.417549633465227,9.512118129945076,-415.5475180000021,7.044423017655186,3.868517103068255,0.00020092777370374557,0,15,-0.04832289006971848,,,,,,0.04832289006971848
BLBT_own_z_l2_v20_reversal_e1.0,41,BLBT,own_return_z,2.0,reversal,,1.0,10.841811672000032,90.61740965840224,1.891734655369258,8.473911094751896,-288.29439000000093,8.667584171937111,9.176912835287952,-0.06525891999995963,1,14,0.18403443474619446,20.0,,,,,0.18403443474619446
DUCT_relative_return_w60_momentum_cur,9,DUCT,relative_return,60.0,momentum,False,0.0,17.02310634400003,207.66410986050772,1.296126445115187,10.6710676978493,-691.6952519999977,13.844018623283137,17.030053003169307,-0.1598584899999878,1,14,-0.027610443554352694,,,,,,0.027610443554352694
SRNA_lead2_LSST_corr-1,2,LSST,lead_lag,,momentum,,,23.532023388000066,214.77143805855667,1.732418251959171,17.650889211541898,-539.5229679999975,21.62442293845459,26.648293426346076,-0.17164494999991803,1,14,0.02059780359411572,,,SRNA,2.0,-0.18055359860986528,0.02059780359411572
ALUT_own_z_l20_v60_reversal_e0.5,26,ALUT,own_return_z,20.0,reversal,,0.5,22.70479940000004,184.82122697186253,1.9423872760068661,17.94774392932638,-584.3086779999976,11.652633445148922,6.5268510228676355,-0.22483731999995143,1,14,-0.03228807285876895,60.0,,,,,0.03228807285876895
BENI_absolute_return_w10_reversal_lag,42,BENI,absolute_return,10.0,reversal,True,0.0,23.34522985999995,108.94770809590511,3.3880519447360617,21.474452998249877,-266.2688020000005,13.521832451555884,13.277184611242495,-0.23874908000001596,1,14,0.03652286201460038,,,,,,0.03652286201460038
ULXY_own_z_l20_v40_reversal_e1.0,40,ULXY,own_return_z,20.0,reversal,,1.0,20.833165616000052,280.06451347387315,1.1761621170939756,12.092065239876188,-846.6058790000025,13.090298310013843,12.488042032315763,-0.2671904700000778,1,14,0.12993319677329557,40.0,,,,,0.12993319677329557
NPCK_relative_return_w10_momentum_lag,11,NPCK,relative_return,10.0,momentum,True,0.0,17.899153952,176.86745605227793,1.6001274610291756,12.871877724876589,-388.40617400000156,22.96188983992851,22.105486964031204,-0.40983872000007976,1,14,0.02561078041652278,,,,,,0.02561078041652278
SRNA_own_z_l5_v40_momentum_e1.0,3,SRNA,own_return_z,5.0,momentum,,1.0,13.985538847999988,133.38546345688334,1.6578327172339666,10.254479174339325,-463.9075389999998,17.87543706420498,18.439947600430667,-0.4529911100000271,1,14,0.003831029527309913,40.0,,,,,0.003831029527309913
SRNA_own_z_l5_v20_momentum_e1.0,3,SRNA,own_return_z,5.0,momentum,,1.0,12.810285863999997,135.50753508794196,1.4947390483417737,8.849458355106396,-463.9075389999998,16.77933004341866,18.34694768285171,-0.4529911100000271,1,14,0.010177914003130934,20.0,,,,,0.010177914003130934
BLBT_own_z_l5_v20_reversal_e1.0,41,BLBT,own_return_z,5.0,reversal,,1.0,14.81655488,101.4771303791897,2.308601963940208,12.475734897787571,-317.79791999999725,8.146723083982296,6.146299986638705,-0.46193795000002424,1,14,0.09047990315575104,20.0,,,,,0.09047990315575104
ULXY_absolute_return_w2_reversal_cur,40,ULXY,absolute_return,2.0,reversal,False,0.0,47.400562671999914,299.01370977715067,2.506469361033471,40.89163203133255,-752.2724879999987,33.53147758301911,36.95541960372663,-0.9371261400000367,1,14,0.16152638434105004,,,,,,0.16152638434105004
AGVF_lead10_CUBO_corr+1,14,CUBO,lead_lag,,momentum,,,14.396976652000005,158.73773174553924,1.4340395676551156,9.686647712461154,-461.7123290000018,14.812902685805051,16.992729134169515,-0.9767376500000501,1,14,-0.02421621300553983,,,AGVF,10.0,0.19171974607685502,0.02421621300553983
