up_threshold,down_threshold,full_score,full_mean,full_std,full_sharpe,full_dvolume,min_cv_score,avg_cv_score,cv_scores,avg_cv_sharpe
0.0015,0.0075,804.4913878140055,885.2020694736019,4433.199064280688,3.157149823910946,100436805.86,366.72380267675976,776.7214520822761,"[np.float64(1456.802976205394), np.float64(508.5132168986071), np.float64(366.72380267675976), np.float64(774.845812548343)]",3.1133451006270474
0.0015,0.01,745.5411560264976,821.4500724032042,4144.400916524639,3.133930892818471,94897304.84000003,373.68657045572365,701.5362618008638,"[np.float64(1305.9390668186152), np.float64(394.4495661685947), np.float64(373.68657045572365), np.float64(732.0698437605221)]",3.0120738814342927
0.002,0.0,723.9196877495294,836.56049548,5217.591100124242,2.5351129625439612,103071229.77999994,120.55289782436134,681.0922225169185,"[np.float64(1765.6810870758202), np.float64(164.4007400252217), np.float64(120.55289782436134), np.float64(673.7341651422706)]",2.4916638601989907
0.002,0.0005,730.9702520642894,842.9038857672,5215.290567928655,2.5554627234215492,103064617.86999993,120.55289782436134,685.5180627253286,"[np.float64(1765.6810870758202), np.float64(164.4007400252217), np.float64(120.55289782436134), np.float64(691.4375259759113)]",2.504414338843294
0.002,0.001,691.8188287700402,806.9477027720018,5204.887339814289,2.4513428694992108,101971411.98999992,50.28361356304243,644.6430549279527,"[np.float64(1765.6810870758202), np.float64(130.9455841878008), np.float64(50.28361356304243), np.float64(631.6619348851473)]",2.3732059598583097
0.002,0.0015,765.3768667314934,872.0720087200021,5148.218943726321,2.678337752703809,101955907.23999994,183.048243782231,721.086176526625,"[np.float64(1779.2787522524088), np.float64(290.3557751867127), np.float64(183.048243782231), np.float64(631.6619348851473)]",2.621415009189195
0.002,0.002,735.739417990679,844.6682403392019,5138.845505983475,2.5989062169394814,101931415.67999995,117.16090662302747,685.8091794868146,"[np.float64(1779.2787522524088), np.float64(290.3557751867127), np.float64(117.16090662302747), np.float64(556.4412838851097)]",2.520212583323743
0.002,0.0025,715.5365499166721,826.0328436600016,5132.456345744083,2.544732027031673,101916469.48999995,117.16090662302747,673.8735994741489,"[np.float64(1731.5364322017463), np.float64(290.3557751867127), np.float64(117.16090662302747), np.float64(556.4412838851097)]",2.4855708609897764
0.002,0.003,688.8500049545604,801.5890906712012,5127.394386985413,2.471866880864763,101865407.08999996,57.64223681458839,646.7791396830864,"[np.float64(1750.4497985732694), np.float64(286.52064403223676), np.float64(57.64223681458839), np.float64(492.5038793122511)]",2.400474539981388
0.002,0.004,699.8511423212329,803.1828538784049,4879.759369566912,2.6024717649913374,100706360.07999997,324.4132486152223,708.9920577469911,"[np.float64(1487.242606501612), np.float64(324.4132486152223), np.float64(331.9523164549946), np.float64(692.3600594161355)]",2.6751120737444563
0.002,0.005,745.5567556607242,840.7207108232049,4749.169144384982,2.799007827948597,100616108.10999997,207.53385795532415,708.1978376621129,"[np.float64(1425.5673867445046), np.float64(207.53385795532415), np.float64(315.2440197965857), np.float64(884.446086152037)]",2.7391913731085036
0.002,0.0075,767.9822903787655,850.8425668264032,4418.926720988927,3.0444049101512567,100424455.15,272.13854080167516,729.3918071143021,"[np.float64(1456.802976205394), np.float64(413.7798989017959), np.float64(272.13854080167516), np.float64(774.845812548343)]",2.970752048878279
0.002,0.01,709.0575802951973,787.0905697560045,4128.507556723743,3.0144051949414474,94884954.13000003,279.3252706561728,654.2672947567439,"[np.float64(1305.9390668186152), np.float64(299.73499779166576), np.float64(279.3252706561728), np.float64(732.0698437605221)]",2.852273297708708
