window,start,end,strategy,mean_pl,std_pl,sharpe,score,value,dvolume
325-425,325,425,candidate_regime,645.8258371920069,4214.953188332898,2.4226610902404695,551.8094043470177,64582.58371920069,35246767.8
350-450,350,450,base_current,535.1032788040034,4111.939772032574,2.057599622389784,432.86172466995146,53510.327880400335,39302650.42
350-450,350,450,candidate_no_regime,550.5155072860102,4080.96854665022,2.1329285810053364,451.312519281682,55051.550728601025,38573453.65
350-450,350,450,candidate_regime,568.1656078080097,3992.718018929919,2.2499678168216692,474.4453305816646,56816.560780800966,36827969.48
375-475,375,475,base_current,785.2465469080093,3821.1173187882023,3.2492690041234464,717.3054155724086,78524.65469080093,41332608.020000026
375-475,375,475,candidate_no_regime,809.4280315120059,3788.6042869697208,3.3780727514456044,744.211405796741,80942.80315120058,40563595.56
375-475,375,475,candidate_regime,827.0781320340052,3692.1370070768767,3.54191988966252,766.0175094183267,82707.81320340052,38818111.39000001
400-500,400,500,base_current,873.1418976320117,4265.9989819376215,3.236190548485122,797.0373669249658,87314.18976320117,42861215.80000001
400-500,400,500,candidate_no_regime,893.9708434720104,4189.441086697,3.3739393497262973,821.7801667772729,89397.08434720105,42066169.96
400-500,400,500,candidate_regime,893.9708434720104,4189.441086697,3.3739393497262973,821.7801667772729,89397.08434720105,42066169.96
