day,daily_pl,cumulative_pl
112,1579.958529000014,29959.195707999996
113,30.100472000009177,29989.296180000005
114,1401.8548409999858,31391.15102099999
115,39.91658300002018,31431.06760400001
116,865.0272600000026,32296.094864000013
117,594.971961999996,32891.06682600001
118,-898.394048999995,31992.672777000014
119,-1436.7676759999886,30555.905101000026
120,2471.306873999987,33027.21197500001
121,1096.9270909999977,34124.13906600001
122,1755.593433000009,35879.73249900002
123,947.9143480000057,36827.646847000025
124,1078.241594999985,37905.88844200001
125,3871.401106000005,41777.289548000015
126,1536.0047749999867,43313.294323
127,2550.232744999994,45863.527067999996
128,227.97203300001274,46091.49910100001
129,1062.0816160000104,47153.58071700002
130,2079.5572659999743,49233.13798299999
131,843.1306290000139,50076.26861200001
132,2650.853587999998,52727.122200000005
133,491.33497400001215,53218.45717400002
134,427.76007900000695,53646.217253000024
135,1508.6563060000044,55154.87355900003
136,1938.1768289999964,57093.050388000025
137,832.8854039999933,57925.93579200002
138,1564.1602150000035,59490.09600700002
139,1334.5012500000012,60824.59725700002
140,209.9495600000082,61034.54681700003
141,1231.7636890000067,62266.31050600004
142,-271.5976219999866,61994.71288400005
143,243.3297520000051,62238.04263600006
144,1015.3093020000015,63253.35193800006
145,2439.0182649999697,65692.37020300003
146,2926.485561000023,68618.85576400005
147,185.64895499998238,68804.50471900003
148,1025.0196309999883,69829.52435000002
149,3445.4262009999948,73274.95055100002
150,725.6377390000271,74000.58829000004
151,-197.04582400002982,73803.54246600001
152,90.21637999999803,73893.75884600001
153,747.645010999986,74641.403857
154,2440.6405830000003,77082.04444
155,419.9880350000167,77502.03247500001
156,2243.1480239999655,79745.18049899998
157,433.12127800004964,80178.30177700003
158,-1335.6566650000168,78842.64511200001
159,-703.9835009999952,78138.66161100002
160,-928.637722000014,77210.023889
161,1360.9097920000204,78570.93368100002
162,910.770835999996,79481.70451700002
163,-1316.2509820000269,78165.453535
164,-72.59543199998734,78092.858103
165,-362.0377220000082,77730.820381
166,1417.6643320000148,79148.48471300001
167,-1488.1726659999986,77660.31204700001
168,3032.610308000003,80692.92235500002
169,1388.2088669999794,82081.131222
170,-750.8498079999845,81330.28141400001
171,1176.4098019999947,82506.691216
172,2489.216778000002,84995.90799400001
173,-107.4367439999769,84888.47125000003
174,-1985.9625140000135,82902.50873600002
175,-95.10501999998814,82807.40371600003
176,1636.6841250000143,84444.08784100004
177,1323.219379999995,85767.30722100004
178,614.3293200000044,86381.63654100004
179,-765.5502500000148,85616.08629100003
180,-58.91354400002456,85557.172747
181,1443.8087740000046,87000.98152100001
182,3215.052505999978,90216.03402699999
183,943.0133890000143,91159.047416
184,1362.717844999992,92521.765261
185,1820.504369000002,94342.26963
186,548.4103860000032,94890.680016
187,539.9835909999965,95430.663607
188,1333.567470000009,96764.231077
189,481.3441339999845,97245.57521099999
190,489.722523000004,97735.29773399999
191,627.0019540000358,98362.29968800003
192,559.2007239999948,98921.50041200002
193,1269.5459669999836,100191.046379
194,4479.876917000016,104670.92329600002
195,538.7554490000039,105209.67874500003
196,-1105.3228150000068,104104.35593000002
197,3503.470675000004,107607.82660500002
198,-115.67736999997578,107492.14923500005
199,1160.92718899998,108653.07642400003
200,-2175.2360259999987,106477.84039800003
201,-412.4189219999971,106065.42147600003
202,1381.768824999992,107447.19030100002
203,-487.8102139999828,106959.38008700004
204,906.5236000000004,107865.90368700004
205,731.5452260000166,108597.44891300006
206,435.9554549999739,109033.40436800003
207,1714.662381999995,110748.06675000003
208,3008.1293679999944,113756.19611800002
209,1531.452031000008,115287.64814900003
210,1297.203679000013,116584.85182800004
211,1214.1734169999836,117799.02524500003
212,-850.716665999993,116948.30857900003
213,611.2908549999993,117559.59943400003
214,1508.3442969999887,119067.94373100002
215,780.9648089999973,119848.90854000002
216,291.7696530000103,120140.67819300003
217,176.6968680000282,120317.37506100006
218,-1063.7717829999892,119253.60327800007
219,991.1663669999834,120244.76964500005
220,-807.0175489999965,119437.75209600005
221,1485.0441070000088,120922.79620300006
222,561.6035440000123,121484.39974700008
223,1270.3637529999833,122754.76350000006
224,777.347351000004,123532.11085100006
225,2774.6239519999945,126306.73480300006
226,559.9433209999988,126866.67812400006
227,647.1397530000249,127513.81787700008
228,807.1887189999688,128321.00659600005
229,-475.19893400001456,127845.80766200004
230,-2532.2315459999663,125313.57611600007
231,2332.996145000012,127646.57226100008
232,1656.3538069999777,129302.92606800006
233,1622.0851110000076,130925.01117900007
234,2461.1665819999907,133386.17776100006
235,-102.75051400001394,133283.42724700004
236,961.4693219999899,134244.89656900003
237,1005.3942300000344,135250.29079900007
238,899.0576790000196,136149.3484780001
239,356.14908000000287,136505.4975580001
240,2530.441523000016,139035.9390810001
241,3751.5739429999667,142787.51302400007
242,-274.4815209999506,142513.03150300012
243,1954.4049469999736,144467.4364500001
244,869.5883210000466,145337.02477100014
245,1843.9738839999773,147180.99865500012
246,-370.92425099998945,146810.07440400013
247,-579.1245779999881,146230.94982600014
248,3534.1457699999737,149765.09559600012
249,-175.18564299997524,149589.90995300014
250,623.3432319999847,150213.25318500013
251,649.5330229999672,150862.7862080001
252,1925.6140799999994,152788.4002880001
253,346.77859400000307,153135.1788820001
254,1238.6470890000346,154373.82597100013
255,1413.5130939999653,155787.3390650001
256,-295.19458399995347,155492.14448100014
257,-1016.8501030000334,154475.2943780001
258,1471.4453210000065,155946.7396990001
259,507.6150139999809,156454.3547130001
260,685.530618000048,157139.88533100014
261,-367.7926040000166,156772.09272700013
262,74.84290799999144,156846.93563500012
263,1162.279021000024,158009.21465600014
264,-2440.7488190000004,155568.46583700014
265,215.60424399998737,155784.07008100013
266,517.0165030000207,156301.08658400015
267,1153.2860689999943,157454.37265300014
268,925.4012430000002,158379.77389600014
269,535.2823539999954,158915.05625000014
270,1611.2352700000047,160526.29152000014
271,1752.9879429999855,162279.27946300013
272,1890.6502980000223,164169.92976100015
273,476.0175429999945,164645.94730400015
274,-1032.03872099999,163613.90858300016
275,-1128.9682580000372,162484.94032500012
276,1106.1903360000288,163591.13066100015
277,-1407.1095869999845,162184.02107400016
278,2353.7497319999675,164537.77080600013
279,1454.810003999999,165992.58081000013
280,486.8810789999552,166479.4618890001
281,1464.478472000017,167943.9403610001
282,1835.1393030000036,169779.0796640001
283,-1093.1865129999933,168685.8931510001
284,1496.9956750000129,170182.88882600013
285,-1292.7232810000132,168890.1655450001
286,569.1185780000233,169459.28412300014
