name,short_mult,regime,train_score,test_score,full_score,full_mean,full_std,full_sharpe,cv_mean_score,cv_min_score
robust_excl,1.0,60_-250.0,830.6469744121687,821.7801667772729,827.2852602811248,901.2731291872113,4261.6624047376845,3.343854594125455,803.5369935841765,439.10850460607975
robust_excl,1.1,none,836.4613544269054,821.7801667772729,830.7715010465996,904.6007319248096,4263.834273576057,3.354490937494411,808.056192366125,444.01614541097325
robust_excl,1.1,40_-250.0,836.4613544269054,821.7801667772729,830.7715010465996,904.6007319248096,4263.834273576057,3.354490937494411,808.056192366125,444.01614541097325
robust_excl,1.1,40_0.0,829.8561676338359,821.7801667772729,826.8177040610644,899.8324113312093,4227.970291155243,3.365113442496095,803.2241483890498,434.5311251038878
robust_excl,1.1,60_-250.0,836.4613544269054,821.7801667772729,830.7715010465996,904.6007319248096,4263.834273576057,3.354490937494411,808.056192366125,444.01614541097325
robust_excl,1.25,none,845.1922950768981,821.7801667772729,836.007365096007,909.6098505512103,4267.429425375033,3.3702243471951516,814.7281977625325,451.312519281682
robust_excl,1.25,40_-250.0,845.1922950768981,821.7801667772729,836.007365096007,909.6098505512103,4267.429425375033,3.3702243471951516,814.7281977625325,451.312519281682
robust_excl,1.25,40_0.0,859.515150101151,821.7801667772729,844.6164457299267,916.6698907600102,4233.314940537687,3.4237527304443685,826.1370845206833,474.4453305816646
robust_excl,1.25,60_-250.0,845.1922950768981,821.7801667772729,836.007365096007,909.6098505512103,4267.429425375033,3.3702243471951516,814.7281977625325,451.312519281682
robust_excl,1.4,none,849.9444818653395,821.7801667772729,838.8577891065249,912.3299170272089,4269.126848005304,3.3789585295016624,818.4072734325264,458.6931354653746
robust_excl,1.4,40_-250.0,849.9444818653395,821.7801667772729,838.8577891065249,912.3299170272089,4269.126848005304,3.3789585295016624,818.4072734325264,458.6931354653746
robust_excl,1.4,40_0.0,830.4513294061194,821.7801667772729,827.1707547248383,900.7977973800097,4249.309973888355,3.35180625617797,803.4162149003646,428.70037306913207
robust_excl,1.4,60_-250.0,849.9444818653395,821.7801667772729,838.8577891065249,912.3299170272089,4269.126848005304,3.3789585295016624,818.4072734325264,458.6931354653746
robust_excl,1.6,none,856.1971258978689,821.7801667772729,842.6085493257466,915.9224445440108,4271.780435929896,3.3901567838865736,823.2424405396408,468.3905079787155
robust_excl,1.6,40_-250.0,856.1971258978689,821.7801667772729,842.6085493257466,915.9224445440108,4271.780435929896,3.3901567838865736,823.2424405396408,468.3905079787155
robust_excl,1.6,40_0.0,836.7088790836773,821.7801667772729,830.9232619031125,904.3903248968115,4251.985672781022,3.3630561584454526,808.2612854293739,438.41659092936277
robust_excl,1.6,60_-250.0,856.1971258978689,821.7801667772729,842.6085493257466,915.9224445440108,4271.780435929896,3.3901567838865736,823.2424405396408,468.3905079787155
