asset_idx,asset,variant,full_mean_pl,full_std_pl,full_sharpe,full_score,full_worst_day,full_q05,full_q95,roll_mean_score,roll_median_score,roll_min_score,roll_neg_count,roll_mean_std,roll_mean_worst_day
9,DUCT,gate20_loose,27.33332592399999,171.77686821317843,2.515925655376898,23.60429914235673,-693.6932639999977,-245.93189655000037,320.4203782499995,15.101604398217841,8.42258708647381,-0.9675764899999922,1,178.2117799619873,-534.1660191999999
10,SMAH,raw,5.230071511999966,181.1851387576431,0.4564099025142279,0.9016528811526919,-579.0277679999999,-336.12129870000047,284.3872374999997,5.260305408216264,0.09338468194994802,-8.903362519999956,5,184.56087749248292,-526.2839448666672
10,SMAH,gate20,-1.929888119999976,146.71093219961236,-0.2079886616832635,-1.929888119999976,-579.0277679999999,-260.35815259999896,239.76990169999974,-3.8442482446683934,-4.226337079999921,-21.732940340000123,9,146.3406337294547,-518.9954426000002
10,SMAH,gate20_loose,5.230071511999966,181.1851387576431,0.4564099025142279,0.9016528811526919,-579.0277679999999,-336.12129870000047,284.3872374999997,5.260305408216264,0.09338468194994802,-8.903362519999956,5,184.56087749248292,-526.2839448666672
11,NPCK,raw,11.390830595999935,157.2540382185254,1.1453114187896762,6.463442897301733,-436.6084699999992,-260.9112375999997,312.66628340000034,5.192563417932419,3.799981498312643,-10.433169600000001,5,158.25182745859325,-421.80815
11,NPCK,gate20,6.380603767999986,115.70364073458926,0.8719362945638328,2.7558227686696055,-352.59314600000107,-200.6975392499992,239.98236884999986,0.31596589080914217,-0.04207057000008066,-23.465796080000064,8,112.35287756348787,-391.18369233333334
11,NPCK,gate20_loose,11.390830595999935,157.2540382185254,1.1453114187896762,6.463442897301733,-436.6084699999992,-260.9112375999997,312.66628340000034,5.192563417932419,3.799981498312643,-10.433169600000001,5,158.25182745859325,-421.80815
12,MSDP,raw,14.561662747999945,189.1102617606961,1.2174913295074492,8.695429844917463,-595.8707649999997,-316.64942850000176,317.79145560000006,6.681298802741888,2.0605282598695585,-8.262867160000042,5,189.32454287682296,-521.0727085333333
12,MSDP,gate20,12.291268863999948,166.49290676615524,1.1672690956841232,7.088653125537455,-595.8707649999997,-258.3391312500006,313.9467672000001,5.786611941981588,3.4194388351330685,-3.1206672500000683,2,151.5633069189802,-508.74893046666676
12,MSDP,gate20_loose,14.561662747999945,189.1102617606961,1.2174913295074492,8.695429844917463,-595.8707649999997,-316.64942850000176,317.79145560000006,6.681298802741888,2.0605282598695585,-8.262867160000042,5,189.32454287682296,-521.0727085333333
13,EORC,raw,11.597420304000035,194.05163203224407,0.9449614713064769,5.470788890525852,-552.9895029999989,-338.8653112000007,333.679421499998,5.914150361979946,8.1842015469486,-27.93629496000004,4,191.81743966088192,-468.2605190000001
13,EORC,gate20,11.766802211999995,144.01903754342968,1.2918394818256795,7.35785995867019,-552.9895029999989,-262.7133011999996,280.68535659999935,4.304123704522622,3.3518495173412792,-12.951375649999918,5,141.58848360492084,-445.2546590000002
13,EORC,gate20_loose,11.597420304000035,194.05163203224407,0.9449614713064769,5.470788890525852,-552.9895029999989,-338.8653112000007,333.679421499998,5.914150361979946,8.1842015469486,-27.93629496000004,4,191.81743966088192,-468.2605190000001
14,CUBO,raw,16.4257398800001,137.04632396753308,1.8950800273404864,12.84818263057933,-417.50953400000253,-204.42807659999926,258.7685451500014,16.237874796304688,20.333067753059915,-5.121496209999914,1,140.96748773859306,-371.37224246666716
14,CUBO,gate20,12.13281113600004,119.03761098448923,1.611562820065936,8.759901286847196,-355.55698499999926,-186.5140281000009,230.3180337999997,9.026023099595303,5.399735866181999,-10.303007650000072,3,122.97001683919089,-358.98173266666646
14,CUBO,gate20_loose,16.4257398800001,137.04632396753308,1.8950800273404864,12.84818263057933,-417.50953400000253,-204.42807659999926,258.7685451500014,16.237874796304688,20.333067753059915,-5.121496209999914,1,140.96748773859306,-371.37224246666716
15,HRET,raw,25.25137043199998,192.65930632159072,2.072358873556298,20.48216588701742,-555.5425999999989,-257.0782125000001,324.5844151499984,11.021645888978261,10.924214745911614,-9.76597841999992,3,196.63358735024005,-539.779922866666
15,HRET,gate20,12.592548828000028,161.61716392272044,1.231958749827,7.590985104499749,-527.4974249999996,-247.66985430000014,279.714297049999,3.002859112483181,0.9682874399405691,-11.76870109999996,5,148.72026418357243,-507.79187526666624
15,HRET,gate20_loose,25.25137043199998,192.65930632159072,2.072358873556298,20.48216588701742,-555.5425999999989,-257.0782125000001,324.5844151499984,11.021645888978261,10.924214745911614,-9.76597841999992,3,196.63358735024005,-539.779922866666
16,ANSO,raw,13.435858872000042,172.62973695694131,1.2306082690347413,8.092287267385402,-439.36813900000016,-237.93820735000025,323.7223814000013,15.085509896555445,16.979541305337385,0.44638221887888374,0,177.32390974250364,-399.4460331333339
16,ANSO,gate20,12.490853336000033,153.34212916846278,1.287954806518895,7.792973182777516,-439.36813900000016,-215.04794770000035,270.1835195999995,7.167419420680013,3.9590222922842937,-2.9978433500001143,2,152.72358952924282,-368.96813033333336
16,ANSO,gate20_loose,13.435858872000042,172.62973695694131,1.2306082690347413,8.092287267385402,-439.36813900000016,-237.93820735000025,323.7223814000013,15.085509896555445,16.979541305337385,0.44638221887888374,0,177.32390974250364,-399.4460331333339
17,DIHO,raw,-3.3377055519999557,171.01953696846002,-0.3085832148304778,-3.3377055519999557,-522.7199999999993,-301.53725300000104,291.3531855000011,-5.473742131316559,-4.864260250000061,-15.267425440000025,13,182.39953959669774,-491.1624391333338
17,DIHO,gate20,-7.573291351999979,111.58100952178059,-1.073159767912886,-7.573291351999979,-444.50373800000125,-237.5452126499994,178.3521315999978,-6.772488523333297,-7.221748149999985,-12.889998640000018,15,111.04536998191597,-416.36038466666673
17,DIHO,gate20_loose,-3.3377055519999557,171.01953696846002,-0.3085832148304778,-3.3377055519999557,-522.7199999999993,-301.53725300000104,291.3531855000011,-5.473742131316559,-4.864260250000061,-15.267425440000025,13,182.39953959669774,-491.1624391333338
18,RTTH,raw,6.461439467999946,264.80091518186595,0.3858156167653941,0.8371902503191414,-786.9145860000008,-397.03203974999934,496.85905169999876,-2.2431675323831106,-0.5556683399999384,-41.19983858000003,8,274.2159446663812,-867.9250822666665
18,RTTH,gate20,-0.9126302440000168,197.18480859858934,-0.07317983198366725,-0.9126302440000168,-753.0948179999996,-329.4338874000026,431.8959063999991,-2.48685501275189,-0.5943737700000565,-23.47865799,8,190.75299693463668,-612.3364021333338
18,RTTH,gate20_loose,6.461439467999946,264.80091518186595,0.3858156167653941,0.8371902503191414,-786.9145860000008,-397.03203974999934,496.85905169999876,-2.2431675323831106,-0.5556683399999384,-41.19983858000003,8,274.2159446663812,-867.9250822666665
19,SPLZ,raw,9.311675684000054,203.01128539560995,0.7252331794477482,3.2095128663199475,-655.1835679999995,-323.7263423999996,357.44881505000035,5.513235089490104,5.7561713598030435,-8.03384741999995,3,208.7124626837684,-577.5692526000008
