kind,full_score,full_mean,full_std,full_sharpe,full_dvolume,min_cv_score,avg_cv_score,cv_scores,avg_cv_sharpe,low_scale,mid_cut,mid_scale,high_cut,high_scale,cap_move,min_scale,max_scale,b
tier,432.00113169030146,490.1832569767991,2844.3355265533396,2.7248816963669826,65221220.589999996,170.8299336633724,404.2732090103148,"[np.float64(805.4826480664258), np.float64(177.4683602032537), np.float64(170.8299336633724), np.float64(463.3118941082073)]",2.6370461471527658,0.25,0.002,0.5,0.0125,0.75,,,,
tier,468.53658814457305,547.5165451671984,3554.298865906399,2.4356411836420944,80543598.16999999,125.47049663534563,430.9892819472674,"[np.float64(881.9175613677676), np.float64(125.47049663534563), np.float64(178.81331842591769), np.float64(537.7557513600386)]",2.3272307847780342,0.25,0.002,0.5,0.0125,1.0,,,,
tier,468.53658814457305,547.5165451671984,3554.298865906399,2.4356411836420944,80543598.16999999,125.47049663534563,430.9892819472674,"[np.float64(881.9175613677676), np.float64(125.47049663534563), np.float64(178.81331842591769), np.float64(537.7557513600386)]",2.3272307847780342,0.25,0.002,0.5,0.0125,1.25,,,,
tier,374.911756155942,432.70628425759986,2686.222846490917,2.546954393433462,61192235.57999998,124.25702716098577,360.27575718084773,"[np.float64(783.2884291905935), np.float64(180.3480376210555), np.float64(124.25702716098577), np.float64(353.2095347507562)]",2.4967208430161802,0.25,0.002,0.5,0.015,0.75,,,,
tier,352.96532609904705,432.3747208240004,3242.651080675143,2.108288691052441,72451739.89999998,89.50797371511453,343.4289718818868,"[np.float64(837.129809748241), np.float64(131.04778348180233), np.float64(89.50797371511453), np.float64(316.0303205823893)]",2.0691369846695875,0.25,0.002,0.5,0.015,1.0,,,,
tier,352.96532609904705,432.3747208240004,3242.651080675143,2.108288691052441,72451739.89999998,89.50797371511453,343.4289718818868,"[np.float64(837.129809748241), np.float64(131.04778348180233), np.float64(89.50797371511453), np.float64(316.0303205823893)]",2.0691369846695875,0.25,0.002,0.5,0.015,1.25,,,,
tier,584.5067065308649,645.940046544801,3311.078897520145,3.0845561857897703,75248314.27,227.74393957456056,558.3166361083576,"[np.float64(1091.4419187233618), np.float64(333.6104322745256), np.float64(227.74393957456056), np.float64(580.4702538609823)]",3.019953079040425,0.25,0.002,0.75,0.005,0.75,,,,
tier,729.3340899165005,811.3882442207997,4303.142673452247,2.9813500424379473,98907319.68,256.4622300424258,684.9133456203309,"[np.float64(1390.758096268519), np.float64(345.53891171544893), np.float64(256.4622300424258), np.float64(746.8941444549301)]",2.9026601828132508,0.25,0.002,0.75,0.005,1.0,,,,
tier,729.3340899165005,811.3882442207997,4303.142673452247,2.9813500424379473,98907319.68,256.4622300424258,684.9133456203309,"[np.float64(1390.758096268519), np.float64(345.53891171544893), np.float64(256.4622300424258), np.float64(746.8941444549301)]",2.9026601828132508,0.25,0.002,0.75,0.005,1.25,,,,
tier,584.5067065308649,645.940046544801,3311.078897520145,3.0845561857897703,75248314.27,227.74393957456056,558.3166361083576,"[np.float64(1091.4419187233618), np.float64(333.6104322745256), np.float64(227.74393957456056), np.float64(580.4702538609823)]",3.019953079040425,0.25,0.002,0.75,0.0075,0.75,,,,
tier,715.5194319498423,796.7202886832031,4243.707774900853,2.9684545967172045,97467335.97999999,227.82820950824265,668.7590460916841,"[np.float64(1370.9393312278846), np.float64(347.0999745148243), np.float64(227.82820950824265), np.float64(729.168669115785)]",2.871791022628649,0.25,0.002,0.75,0.0075,1.0,,,,
tier,715.5194319498423,796.7202886832031,4243.707774900853,2.9684545967172045,97467335.97999999,227.82820950824265,668.7590460916841,"[np.float64(1370.9393312278846), np.float64(347.0999745148243), np.float64(227.82820950824265), np.float64(729.168669115785)]",2.871791022628649,0.25,0.002,0.75,0.0075,1.25,,,,
tier,584.5067065308649,645.940046544801,3311.078897520145,3.0845561857897703,75248314.27,227.74393957456056,558.3166361083576,"[np.float64(1091.4419187233618), np.float64(333.6104322745256), np.float64(227.74393957456056), np.float64(580.4702538609823)]",3.019953079040425,0.25,0.002,0.75,0.01,0.75,,,,
tier,662.3405118138418,740.4733369600069,4021.1987016035387,2.9115476070421575,93568625.67999999,205.64156776829725,613.3093612461413,"[np.float64(1274.047478870674), np.float64(298.2759899682198), np.float64(205.64156776829725), np.float64(675.2724083773743)]",2.784272515657916,0.25,0.002,0.75,0.01,1.0,,,,
tier,662.3405118138418,740.4733369600069,4021.1987016035387,2.9115476070421575,93568625.67999999,205.64156776829725,613.3093612461413,"[np.float64(1274.047478870674), np.float64(298.2759899682198), np.float64(205.64156776829725), np.float64(675.2724083773743)]",2.784272515657916,0.25,0.002,0.75,0.01,1.25,,,,
tier,584.5067065308649,645.940046544801,3311.078897520145,3.0845561857897703,75248314.27,227.74393957456056,558.3166361083576,"[np.float64(1091.4419187233618), np.float64(333.6104322745256), np.float64(227.74393957456056), np.float64(580.4702538609823)]",3.019953079040425,0.25,0.002,0.75,0.0125,0.75,,,,
tier,625.0969083710974,703.3752991960039,3935.540503384723,2.825873591503903,90294810.80999999,239.2325400644528,587.5416673845477,"[np.float64(1171.3511845826981), np.float64(281.41134249597127), np.float64(239.2325400644528), np.float64(658.1716023950692)]",2.7414932648070636,0.25,0.002,0.75,0.0125,1.0,,,,
tier,625.0969083710974,703.3752991960039,3935.540503384723,2.825873591503903,90294810.80999999,239.2325400644528,587.5416673845477,"[np.float64(1171.3511845826981), np.float64(281.41134249597127), np.float64(239.2325400644528), np.float64(658.1716023950692)]",2.7414932648070636,0.25,0.002,0.75,0.0125,1.25,,,,
tier,584.5067065308649,645.940046544801,3311.078897520145,3.0845561857897703,75248314.27,227.74393957456056,558.3166361083576,"[np.float64(1091.4419187233618), np.float64(333.6104322745256), np.float64(227.74393957456056), np.float64(580.4702538609823)]",3.019953079040425,0.25,0.002,0.75,0.015,0.75,,,,
tier,567.9774354388509,645.6929806712046,3776.4564210432177,2.7034079841705614,86279799.57,192.64227333296998,543.5267609427343,"[np.float64(1149.0594368219722), np.float64(284.6559666141239), np.float64(192.64227333296998), np.float64(547.7493670018713)]",2.6453015680442924,0.25,0.002,0.75,0.015,1.0,,,,
tier,567.9774354388509,645.6929806712046,3776.4564210432177,2.7034079841705614,86279799.57,192.64227333296998,543.5267609427343,"[np.float64(1149.0594368219722), np.float64(284.6559666141239), np.float64(192.64227333296998), np.float64(547.7493670018713)]",2.6453015680442924,0.25,0.002,0.75,0.015,1.25,,,,
tier,777.1618705609314,859.3466975960015,4418.537009386602,3.0751047896332544,100423376.37,295.8744586878767,741.2940454014167,"[np.float64(1456.802976205394), np.float64(437.65293416405314), np.float64(295.8744586878767), np.float64(774.845812548343)]",3.0081067395343872,0.25,0.002,1.0,0.005,1.0,,,,
tier,777.1618705609314,859.3466975960015,4418.537009386602,3.0751047896332544,100423376.37,295.8744586878767,741.2940454014167,"[np.float64(1456.802976205394), np.float64(437.65293416405314), np.float64(295.8744586878767), np.float64(774.845812548343)]",3.0081067395343872,0.25,0.002,1.0,0.005,1.25,,,,
tier,777.1618705609314,859.3466975960015,4418.537009386602,3.0751047896332544,100423376.37,295.8744586878767,741.2940454014167,"[np.float64(1456.802976205394), np.float64(437.65293416405314), np.float64(295.8744586878767), np.float64(774.845812548343)]",3.0081067395343872,0.25,0.002,1.0,0.0075,1.0,,,,
tier,777.1618705609314,859.3466975960015,4418.537009386602,3.0751047896332544,100423376.37,295.8744586878767,741.2940454014167,"[np.float64(1456.802976205394), np.float64(437.65293416405314), np.float64(295.8744586878767), np.float64(774.845812548343)]",3.0081067395343872,0.25,0.002,1.0,0.0075,1.25,,,,
tier,777.1618705609314,859.3466975960015,4418.537009386602,3.0751047896332544,100423376.37,295.8744586878767,741.2940454014167,"[np.float64(1456.802976205394), np.float64(437.65293416405314), np.float64(295.8744586878767), np.float64(774.845812548343)]",3.0081067395343872,0.25,0.002,1.0,0.01,1.0,,,,
tier,777.1618705609314,859.3466975960015,4418.537009386602,3.0751047896332544,100423376.37,295.8744586878767,741.2940454014167,"[np.float64(1456.802976205394), np.float64(437.65293416405314), np.float64(295.8744586878767), np.float64(774.845812548343)]",3.0081067395343872,0.25,0.002,1.0,0.01,1.25,,,,
tier,777.1618705609314,859.3466975960015,4418.537009386602,3.0751047896332544,100423376.37,295.8744586878767,741.2940454014167,"[np.float64(1456.802976205394), np.float64(437.65293416405314), np.float64(295.8744586878767), np.float64(774.845812548343)]",3.0081067395343872,0.25,0.002,1.0,0.0125,1.0,,,,
tier,777.1618705609314,859.3466975960015,4418.537009386602,3.0751047896332544,100423376.37,295.8744586878767,741.2940454014167,"[np.float64(1456.802976205394), np.float64(437.65293416405314), np.float64(295.8744586878767), np.float64(774.845812548343)]",3.0081067395343872,0.25,0.002,1.0,0.0125,1.25,,,,
tier,777.1618705609314,859.3466975960015,4418.537009386602,3.0751047896332544,100423376.37,295.8744586878767,741.2940454014167,"[np.float64(1456.802976205394), np.float64(437.65293416405314), np.float64(295.8744586878767), np.float64(774.845812548343)]",3.0081067395343872,0.25,0.002,1.0,0.015,1.0,,,,
tier,777.1618705609314,859.3466975960015,4418.537009386602,3.0751047896332544,100423376.37,295.8744586878767,741.2940454014167,"[np.float64(1456.802976205394), np.float64(437.65293416405314), np.float64(295.8744586878767), np.float64(774.845812548343)]",3.0081067395343872,0.25,0.002,1.0,0.015,1.25,,,,
