adds,removes,excluded,n_active,full_score,full_mean,full_std,full_sharpe,test_score,test_mean,test_std,test_sharpe,cv_mean_score,cv_min_score,cv_mean_sharpe
"AENO,FWWG,DIHO","SMAH,EORC,LSST","2,5,10,13,18,34",45,802.7589642695347,878.9967227392048,4283.016402369513,3.2449463632004973,784.7867629596175,859.9971222320013,4209.495013254878,3.2302564546103767,784.2774760018443,437.3918162663046,3.197957350826533
"AENO,FWWG,DIHO","SMAH,EORC,HETT","5,7,10,13,18,34",45,806.0584633793769,882.9125234751995,4310.600927378569,3.2385444580767966,781.4472900519638,857.944100031996,4244.248599769541,3.1961575735122616,784.0839970583536,427.03931182692173,3.181322454142426
"AENO,FWWG,DIHO","SMAH,EORC,ITPA","5,10,13,18,34,43",45,806.5879641176109,882.8960047711972,4293.770605165337,3.2511777745895256,773.3951035542292,849.0378976819898,4198.364609226499,3.1975469336032054,782.3170822752473,405.6567708656569,3.188394345143598
"AENO,FWWG,DIHO","SMAH,EORC,NPCK","5,10,11,13,18,34",45,801.1461389019748,877.6141184032001,4287.040053539535,3.2368014833258347,774.5106909271991,850.6718132420048,4217.790519663857,3.188945087017394,781.7640140274679,432.44399852669,3.191899714665114
"AENO,FWWG,DIHO","SMAH,EORC,CCNS","5,10,13,18,32,34",45,807.617637758435,884.3974066151953,4311.595077143449,3.2432430592519608,774.5869125808883,850.6595895919937,4215.072789897676,3.190955353157811,779.9646524165798,395.3871409476261,3.174583004136742
"AENO,FWWG,DIHO","SMAH,EORC,HRND","5,10,13,18,34,38",45,806.7785216712351,882.8897511671992,4287.693024482695,3.255763088175485,773.3028364496179,849.1919290019979,4206.207955625235,3.1921634576899325,779.3890859377461,382.18853948295435,3.1791553378908
"AENO,FWWG,DIHO","SMAH,LSST,HETT","2,5,7,10,18,34",45,807.3588189878351,884.5017175192055,4322.9813758919545,3.235082201938051,807.8164088083427,883.0405491320009,4260.621283123109,3.2770096377775837,783.0179170067977,431.2295687640337,3.1661003754568413
"AENO,FWWG,DIHO","SMAH,LSST,ITPA","2,5,10,18,34,43",45,807.902592158217,884.4851988152033,4305.723580567592,3.247988093785387,799.7210394244453,874.134346782004,4216.035239270872,3.2782642458328515,781.2831847407532,409.8619282279286,3.1735810034969156
"AENO,FWWG,DIHO","SMAH,LSST,NPCK","2,5,10,11,18,34",45,802.4826166285621,879.2033124471982,4298.31035180527,3.234160363187953,800.9215144894429,875.7682623419969,4233.023642400137,3.2712106586750678,780.7320382991539,436.65350781788845,3.1772618698883144
"AENO,FWWG,DIHO","SMAH,LSST,CCNS","2,5,10,18,32,34",45,808.9565347773441,885.9866006591996,4322.7955827270835,3.240652467662609,800.9801144850934,875.7560386919918,4230.806594436283,3.27287917220692,778.9533974941708,399.6454733074732,3.160047827251586
