mname,abs_cap,gate,gate_th,max_scale,full_score,full_mean,full_std,full_sharpe,full_worst,full_q05,test_score,train_score,roll_mean,roll_median,roll_min,roll_neg_count
all,0.02,40,0.0,1.0,710.0196801140926,787.3148313432032,4107.3278446883505,3.0308124854162415,-12545.604627799941,-5774.842973679985,737.0948455716439,691.8036786644938,396.92160561740576,285.50222235389083,-41.683552271999154,3
all,0.02,40,0.0,1.25,784.4722683999996,859.6935696951983,4209.158753437567,3.2293742399443777,-12545.604627799941,-5782.615452070005,838.2935076493183,748.4127605111572,445.03888241575663,388.53399217181874,-35.24799448200452,3
all,0.02,40,0.0,1.5,800.7382965740004,875.4820192271977,4229.210458394575,3.273089928388443,-12545.604627799941,-5782.615452070005,851.2759969639072,766.8746195650376,455.52307954774807,412.60649635429354,-31.965919130005144,1
all,0.02,40,-250.0,0.75,531.3229428578862,590.5491617999952,3117.4807534270926,2.995175542845513,-9399.99649260001,-4320.73372319999,595.2244532370705,488.45803936317935,273.87406361079593,182.38323303379863,-66.53662892399967,2
all,0.02,40,-250.0,1.0,713.8516723544129,791.4463981408024,4125.756779818016,3.033108103105127,-12545.604627799941,-5774.842973679985,789.8512226995691,662.9513225951675,373.1530742994609,264.9101751010349,-71.40503844799834,2
all,0.02,40,-250.0,1.25,755.9825495027084,833.9569643415971,4234.808936942651,3.1137219141971695,-12545.604627799941,-5782.615452070005,837.0565880337341,701.599645450036,398.7346054908703,311.58687717820874,-66.847197688002,2
all,0.02,40,-250.0,1.5,798.1336662997658,874.328026458396,4271.377958637183,3.236505891661536,-12545.604627799941,-5782.615452070005,850.0399000673779,763.2672800973716,427.308880960103,404.9441089006374,-63.61788155600208,2
all,0.02,40,-500.0,0.75,540.0440118249044,599.1996543823956,3135.6318646629998,3.0214574969528667,-9399.99649260001,-4320.73372319999,595.2244532370705,502.9924796474418,292.16003529278,204.52261310800694,-27.34242329000326,1
all,0.02,40,-500.0,1.0,731.9171827902419,809.1310293600004,4155.329653596768,3.0788134655928183,-12545.604627799941,-5774.842973679985,789.8512226995691,693.0473948422524,418.9961731831503,321.07677888939145,-40.21746269199761,2
all,0.02,40,-500.0,1.25,767.6008046094099,845.492288938397,4258.502776948012,3.1392269973705385,-12545.604627799941,-5782.615452070005,837.0565880337341,720.9577398814646,440.1776645198502,342.36453288751926,-28.583586170002782,2
all,0.02,40,-500.0,1.5,782.431381708621,859.9610216703968,4280.155274313759,3.176795411797158,-12545.604627799941,-5782.615452070005,850.0399000673779,737.0316748987751,467.55576094244094,363.81005173294005,18.604110010249915,0
all,0.025,0,0.0,1.5,792.719744571253,875.6760178015968,4478.9708821374215,3.0912577704878195,-12494.702602799865,-6161.303601499979,794.3046056631927,791.3237572731325,464.0854258244315,326.0524828195271,-67.60443074399241,1
all,0.025,20,0.0,1.5,595.2668192520631,685.0835262247953,4207.617524065477,2.57440739080867,-12494.702602799865,-6161.303601499979,562.7864230871717,616.8406720576156,377.0055982334405,276.0873330680853,0.2561326752276,0
all,0.025,20,-250.0,1.5,665.7451063071771,754.3585254479973,4351.545841050397,2.740969760996405,-12494.702602799865,-6161.303601499979,724.8477343240365,626.3848172814972,337.1279924963795,91.61454809159494,-176.30070807199692,2
all,0.025,40,0.0,1.5,775.249888805243,857.1355928879967,4404.561938323539,3.076924306071354,-12494.702602799865,-6161.303601499979,705.4589128438695,820.96739168249,470.00300440365953,361.2548614354502,-11.164029376001592,1
all,0.025,40,-250.0,1.5,808.4573671284894,890.043022589596,4470.533424713567,3.147905293990898,-12494.702602799865,-6161.303601499979,794.3046056631927,817.5038662789383,470.2725596258837,367.2127014613508,-67.06722370999746,2
all,0.025,40,-500.0,1.5,792.719744571253,875.6760178015968,4478.9708821374215,3.0912577704878195,-12494.702602799865,-6161.303601499979,794.3046056631927,791.3237572731325,498.2253372266143,405.29935014097947,0.4513135341971487,0
