asset,best_family,best_name,best_min_score,best_avg_score,best_last_score,positive_windows
LSST,single_asset_return,LSST_absolute_reversal_40_cur,2.600327724565561,20.44142162342883,43.82256558432188,4
FWWG,single_asset_return,FWWG_absolute_momentum_2_cur,2.5066736017836315,9.90660731419188,2.5066736017836315,4
SRTX,residual_z,SRTX_resid_momentum_top10_w10_e0.5_x0.0_cur,2.501139083544417,20.2171668973471,7.825078883437055,4
OTCS,single_asset_return,OTCS_relative_momentum_3_lag,2.28921346513365,9.610075567668952,2.28921346513365,4
MMBT,single_asset_return,MMBT_relative_reversal_60_cur,1.419541057867608,11.196978040446815,16.616057431423847,4
AENO,single_asset_return,AENO_absolute_momentum_60_cur,1.0611712251196952,12.19978054929548,1.0611712251196952,4
SMAH,single_asset_return,SMAH_relative_momentum_40_lag,0.3697015547402929,7.608912920938026,5.806943079150902,4
AGVF,single_asset_return,AGVF_absolute_momentum_10_lag,0.32336701584025707,12.57042851971466,1.2308647258147392,4
RCRI,single_asset_return,RCRI_absolute_reversal_60_lag,0.18389927512715679,21.92326355999589,24.486086551386258,4
CTGI,single_asset_return,CTGI_absolute_reversal_5_cur,0.0686853287255261,15.051456509134455,15.084721075102188,4
ILVX,single_asset_return,ILVX_absolute_momentum_20_cur,0.05811638581467471,11.987299837537329,19.795816197738027,4
