portfolio,n_signals,full_mean_pl,full_std_pl,full_sharpe,full_score,full_worst_day,roll_mean_score,roll_median_score,roll_min_score,roll_neg_count,roll_positive_count,signals
market0.25_stable_top20_0.75,20,732.4979335111988,2116.6198562182944,5.471841919220548,708.8239522120144,-5678.003491600015,632.4803665928758,588.972938729705,470.82123737557913,0,15,NAYO_market_spread_z_w60_reversal_e1.0;ULXY_own_z_l2_v20_reversal_e0.5;ELLT_lead1_GARI_corr+1;CCNS_lead1_CUBO_corr-1;SRNA_absolute_return_w10_momentum_lag;MTNS_lead2_FCSG_corr+1;HETT_lead2_DIHO_corr-1;BLBT_own_z_l5_v40_reversal_e0.5;MDGI_own_z_l5_v60_reversal_e1.0;CCNS_lead2_CTGI_corr-1;RTTH_relative_return_w20_reversal_cur;EELT_market_spread_z_w60_reversal_e1.0;MTNS_lead10_ALUT_corr-1;DUCT_absolute_return_w60_momentum_lag;ULXY_lead2_AENO_corr-1;FWWG_absolute_return_w20_reversal_cur;MTNS_absolute_return_w60_reversal_lag;NGTE_relative_return_w5_reversal_lag;NPCK_relative_return_w5_momentum_lag;ALGO_absolute_return_w2_reversal_cur
market0.50_stable_top3_0.50,3,745.7597399479957,2945.5690031873264,4.003130401865769,701.9560737086152,-8558.820083199957,479.69936246337414,452.3487198035258,159.16452949985643,0,15,NAYO_market_spread_z_w60_reversal_e1.0;ULXY_own_z_l2_v20_reversal_e0.5;ELLT_lead1_GARI_corr+1
market0.50_low_corr_top3_0.50,3,745.7597399479957,2945.5690031873264,4.003130401865769,701.9560737086152,-8558.820083199957,479.69936246337414,452.3487198035258,159.16452949985643,0,15,NAYO_market_spread_z_w60_reversal_e1.0;ULXY_own_z_l2_v20_reversal_e0.5;ELLT_lead1_GARI_corr+1
low_corr_top30,30,644.2443299160001,1179.9055655114835,8.633230962430298,635.7149839855,-2440.7488189999967,711.4248465143752,742.7753897521562,523.5915362012631,0,15,NAYO_market_spread_z_w60_reversal_e1.0;ULXY_own_z_l2_v20_reversal_e0.5;ELLT_lead1_GARI_corr+1;CCNS_lead1_CUBO_corr-1;SRNA_absolute_return_w10_momentum_lag;MTNS_lead2_FCSG_corr+1;HETT_lead2_DIHO_corr-1;BLBT_own_z_l5_v40_reversal_e0.5;MDGI_own_z_l5_v60_reversal_e1.0;CCNS_lead2_CTGI_corr-1;RTTH_relative_return_w20_reversal_cur;EELT_market_spread_z_w60_reversal_e1.0;MTNS_lead10_ALUT_corr-1;DUCT_absolute_return_w60_momentum_lag;ULXY_lead2_AENO_corr-1;FWWG_absolute_return_w20_reversal_cur;MTNS_absolute_return_w60_reversal_lag;NGTE_relative_return_w5_reversal_lag;NPCK_relative_return_w5_momentum_lag;HUXZ_own_z_l5_v60_momentum_e0.5;AMRP_absolute_return_w10_reversal_lag;ACAC_absolute_return_w2_reversal_cur;EAFC_absolute_return_w2_reversal_lag;RRES_relative_return_w10_momentum_lag;NWIG_absolute_return_w40_momentum_cur;SRNA_lead2_LSST_corr-1;BENI_absolute_return_w10_reversal_lag;MTNS_lead1_ELLT_corr+1;ANSO_absolute_return_w10_reversal_cur;HTRK_own_z_l2_v60_reversal_e1.0
market0.25_low_corr_top20_0.75,20,647.115079708,1589.9244425523807,6.435392479511713,631.8580687399533,-5093.439845200017,587.5917015604113,564.1583874727236,490.5529958293912,0,15,NAYO_market_spread_z_w60_reversal_e1.0;ULXY_own_z_l2_v20_reversal_e0.5;ELLT_lead1_GARI_corr+1;CCNS_lead1_CUBO_corr-1;SRNA_absolute_return_w10_momentum_lag;MTNS_lead2_FCSG_corr+1;HETT_lead2_DIHO_corr-1;BLBT_own_z_l5_v40_reversal_e0.5;MDGI_own_z_l5_v60_reversal_e1.0;CCNS_lead2_CTGI_corr-1;RTTH_relative_return_w20_reversal_cur;EELT_market_spread_z_w60_reversal_e1.0;MTNS_lead10_ALUT_corr-1;DUCT_absolute_return_w60_momentum_lag;ULXY_lead2_AENO_corr-1;FWWG_absolute_return_w20_reversal_cur;MTNS_absolute_return_w60_reversal_lag;NGTE_relative_return_w5_reversal_lag;NPCK_relative_return_w5_momentum_lag;HUXZ_own_z_l5_v60_momentum_e0.5
market0.25_stable_top15_0.75,15,596.840622371999,1608.9137846734798,5.865372603513981,579.981953981869,-4877.733599200088,519.6580029545423,485.59295002542984,407.29209678386013,0,15,NAYO_market_spread_z_w60_reversal_e1.0;ULXY_own_z_l2_v20_reversal_e0.5;ELLT_lead1_GARI_corr+1;CCNS_lead1_CUBO_corr-1;SRNA_absolute_return_w10_momentum_lag;MTNS_lead2_FCSG_corr+1;HETT_lead2_DIHO_corr-1;BLBT_own_z_l5_v40_reversal_e0.5;MDGI_own_z_l5_v60_reversal_e1.0;CCNS_lead2_CTGI_corr-1;RTTH_relative_return_w20_reversal_cur;EELT_market_spread_z_w60_reversal_e1.0;MTNS_lead10_ALUT_corr-1;DUCT_absolute_return_w60_momentum_lag;ULXY_lead2_AENO_corr-1
market0.25_low_corr_top15_0.75,15,596.840622371999,1608.9137846734798,5.865372603513981,579.981953981869,-4877.733599200088,519.6580029545423,485.59295002542984,407.29209678386013,0,15,NAYO_market_spread_z_w60_reversal_e1.0;ULXY_own_z_l2_v20_reversal_e0.5;ELLT_lead1_GARI_corr+1;CCNS_lead1_CUBO_corr-1;SRNA_absolute_return_w10_momentum_lag;MTNS_lead2_FCSG_corr+1;HETT_lead2_DIHO_corr-1;BLBT_own_z_l5_v40_reversal_e0.5;MDGI_own_z_l5_v60_reversal_e1.0;CCNS_lead2_CTGI_corr-1;RTTH_relative_return_w20_reversal_cur;EELT_market_spread_z_w60_reversal_e1.0;MTNS_lead10_ALUT_corr-1;DUCT_absolute_return_w60_momentum_lag;ULXY_lead2_AENO_corr-1
stable_top20,20,564.5552017096013,1509.9252959490157,5.911816654399594,548.8511166524714,-4737.5402330000215,580.4415755797977,593.1604344364686,473.82852426932897,0,15,NAYO_market_spread_z_w60_reversal_e1.0;ULXY_own_z_l2_v20_reversal_e0.5;ELLT_lead1_GARI_corr+1;CCNS_lead1_CUBO_corr-1;SRNA_absolute_return_w10_momentum_lag;MTNS_lead2_FCSG_corr+1;HETT_lead2_DIHO_corr-1;BLBT_own_z_l5_v40_reversal_e0.5;MDGI_own_z_l5_v60_reversal_e1.0;CCNS_lead2_CTGI_corr-1;RTTH_relative_return_w20_reversal_cur;EELT_market_spread_z_w60_reversal_e1.0;MTNS_lead10_ALUT_corr-1;DUCT_absolute_return_w60_momentum_lag;ULXY_lead2_AENO_corr-1;FWWG_absolute_return_w20_reversal_cur;MTNS_absolute_return_w60_reversal_lag;NGTE_relative_return_w5_reversal_lag;NPCK_relative_return_w5_momentum_lag;ALGO_absolute_return_w2_reversal_cur
market0.25_stable_top10_0.75,10,523.2764530039999,1564.5862804081667,5.288124592895607,505.2101733161746,-4921.156049200028,430.74247507466663,402.2312243997179,298.6619480766738,0,15,NAYO_market_spread_z_w60_reversal_e1.0;ULXY_own_z_l2_v20_reversal_e0.5;ELLT_lead1_GARI_corr+1;CCNS_lead1_CUBO_corr-1;SRNA_absolute_return_w10_momentum_lag;MTNS_lead2_FCSG_corr+1;HETT_lead2_DIHO_corr-1;BLBT_own_z_l5_v40_reversal_e0.5;MDGI_own_z_l5_v60_reversal_e1.0;CCNS_lead2_CTGI_corr-1
market0.25_low_corr_top10_0.75,10,523.2764530039999,1564.5862804081667,5.288124592895607,505.2101733161746,-4921.156049200028,430.74247507466663,402.2312243997179,298.6619480766738,0,15,NAYO_market_spread_z_w60_reversal_e1.0;ULXY_own_z_l2_v20_reversal_e0.5;ELLT_lead1_GARI_corr+1;CCNS_lead1_CUBO_corr-1;SRNA_absolute_return_w10_momentum_lag;MTNS_lead2_FCSG_corr+1;HETT_lead2_DIHO_corr-1;BLBT_own_z_l5_v40_reversal_e0.5;MDGI_own_z_l5_v60_reversal_e1.0;CCNS_lead2_CTGI_corr-1
