vol_window,soft_cut,hard_cut,high_scale,full_score,full_mean,full_std,full_sharpe,full_dvolume,min_cv_score,avg_cv_score,cv_scores,avg_cv_sharpe
3,0.005,0.012,0.75,680.418186077805,735.4383034232017,3306.65624997236,3.516634239447727,79484115.28999995,367.92223522418635,663.5508754509381,"[np.float64(1165.9738078046032), np.float64(531.7243200308727), np.float64(367.92223522418635), np.float64(588.5831387440898)]",3.5674137635980303
3,0.005,999.0,0.25,412.62402013983547,451.6884801327996,2197.4686015561915,3.250022296263595,48031160.01999998,228.79633115834602,401.8984393511273,"[np.float64(659.2463423976733), np.float64(346.205029758616), np.float64(228.79633115834602), np.float64(373.34605408987375)]",3.247213077619512
3,0.005,999.0,0.5,548.4987972797413,596.3148559615976,2783.842632620235,3.386888909124501,65425770.999999985,280.92942353197606,532.3120145776443,"[np.float64(928.6831767645303), np.float64(407.10492443043734), np.float64(280.92942353197606), np.float64(512.5305335836335)]",3.364564760230902
3,0.005,999.0,0.75,677.8221217992646,740.5591067488017,3562.3261879129996,3.2869723261894332,82821725.51999997,325.5599383701035,655.9156751055135,"[np.float64(1193.4582704563798), np.float64(459.53487566673067), np.float64(325.5599383701035), np.float64(645.1096159288403)]",3.2505626914451353
3,0.006,0.007,0.25,423.996832356585,469.3284818856018,2426.422197551672,3.0583032397352863,48091919.46999999,316.0002203408016,429.41936076641065,"[np.float64(568.1707977938947), np.float64(437.02136665500257), np.float64(316.0002203408016), np.float64(396.4850582759436)]",3.1790885030569074
3,0.006,0.007,0.5,425.0104124426994,471.73074579600103,2472.961577224201,3.0161075141322744,50252892.86999999,325.47277170923775,431.2718725406068,"[np.float64(564.8300334207244), np.float64(421.79023089807373), np.float64(325.47277170923775), np.float64(412.99445413439145)]",3.139378498515825
3,0.006,0.007,0.75,425.02814599484157,474.1575679352013,2548.911007320598,2.94129116351033,52416294.609999985,333.8538072097284,432.2467284387034,"[np.float64(560.5258924432744), np.float64(405.85049073215265), np.float64(333.8538072097284), np.float64(428.75672336965846)]",3.066507061895043
3,0.006,0.008,0.25,432.4038607938513,478.33463441280185,2464.9546335170294,3.068265249024434,51046793.959999986,275.17998194144457,428.8361854867756,"[np.float64(657.1088673519309), np.float64(414.83689873611064), np.float64(275.17998194144457), np.float64(368.2189939176162)]",3.1601849058367586
3,0.006,0.008,0.5,439.26447553731714,489.75544467600247,2625.3855431004754,2.9495528870318797,56193609.06999998,240.19494530450186,427.43602368600847,"[np.float64(741.0846112616432), np.float64(375.351722902368), np.float64(240.19494530450186), np.float64(353.11281527552063)]",3.0164329708041357
3,0.006,0.008,0.75,443.0027459643531,501.2760070663998,2874.6063117488598,2.7572017640218895,61341760.39000001,201.75588086375134,423.10497237899165,"[np.float64(822.8245227470584), np.float64(333.7006896272449), np.float64(201.75588086375134), np.float64(334.1387962779121)]",2.7983342115202356
3,0.006,0.01,0.25,497.34147089735507,540.119841743202,2504.6377348513242,3.409692518785747,54805006.80999999,329.0102595649581,499.1468968397154,"[np.float64(744.2959617472723), np.float64(484.0339957928352), np.float64(329.0102595649581), np.float64(439.24737025379596)]",3.5453838736296754
