name,long_mult,short_mult,train_score,test_score,full_score,full_mean,full_std,full_sharpe,cv_mean_score,cv_min_score
base,1.0,1.0,846.3341949887315,797.0373669249658,826.8190247609373,902.5572880392028,4319.139412957711,3.3040572161504262,798.7446854525589,432.86172466995146
base,1.0,1.25,860.9764104882496,797.0373669249658,835.6128232408338,910.9479606592031,4324.738142999907,3.3304564233920644,810.0463578489771,445.5487442340524
base,1.25,0.5,663.6339046888974,605.2300188282036,640.4558230406607,710.0416792719988,3700.5795558517157,3.0337801231697874,613.0192311528269,286.3230611238783
base,1.25,0.75,813.7708642163008,778.7062533130127,799.9390248274995,877.1832115784036,4309.876007018825,3.2180703915051434,769.2083773919987,387.3552035801126
base,1.25,1.0,841.3688924234403,794.6671842883015,822.8859983570795,899.2079084392032,4329.970137513773,3.2835619997332843,794.2465181451955,416.007956525336
base,1.25,1.25,856.0218025299566,794.6671842883015,831.6846092332121,907.5985810592025,4335.561363400368,3.309927454276696,805.5610174173144,428.7184104351038
robust_excl,0.0,0.5,355.88652200923417,454.3999055107315,395.7624192249683,443.56878146639957,2437.566934005819,2.8772289876655277,381.31075676014007,198.88883833195732
robust_excl,0.0,0.75,495.8160042916795,617.2649499082329,544.9663762932083,608.4823577448022,3284.5407016361855,2.9291617021893526,528.4347263905873,290.1946224409772
robust_excl,0.0,1.0,523.2803459135682,632.5679370713469,567.4978303752122,630.2088167416011,3312.410801737397,3.0082247971444502,552.8982592605203,317.55178126272557
robust_excl,0.0,1.25,537.9194360326835,632.5679370713469,576.2158426199948,638.5455381056009,3320.6016863406344,3.0405006093591416,564.087114230118,329.6782189329484
robust_excl,0.25,0.5,468.3666646688641,517.5300111815021,488.25583930621815,534.8976863455996,2613.9957126653226,3.235458642511954,468.3164382459038,238.27149006279055
robust_excl,0.25,0.75,609.8433068293386,681.9549717626821,639.016995063739,699.8112626240002,3412.9194855328983,3.242088674389812,617.0437639442443,331.3901519239946
robust_excl,0.25,1.0,637.0663749132227,697.2544420275703,661.4333989764945,721.5377216208042,3439.052757442818,3.3173416911272824,641.4450404031134,358.72969694138897
robust_excl,0.25,1.25,651.5733124415602,697.2544420275703,670.1009705733413,729.8744429848031,3446.6904486564094,3.348234603833387,652.5861277629609,370.8311946421937
robust_excl,0.5,0.5,570.3082087765138,570.4036047885307,570.4851012224719,626.8340663983994,3114.895018915824,3.181846182241636,544.796318927679,264.5600975495615
robust_excl,0.5,0.75,715.2894915101618,738.4286575046472,724.755224994907,791.7476426768014,3806.045111208361,3.2891437302656286,697.1603813337972,361.8672640516693
robust_excl,0.5,1.0,742.5312838218414,753.8519969682313,747.2552099191281,813.4741016736012,3828.8664061345926,3.3592592506315087,721.6534540661846,389.3859509255364
robust_excl,0.5,1.25,757.040008652137,753.8519969682313,755.9463584724335,821.810823037601,3835.4997079906493,3.387816718069648,732.8184126757685,401.5455833592535
robust_excl,0.75,0.5,648.8389223337005,614.0173933509328,635.0565089208577,701.9227925904025,3601.2789012267517,3.081786813867034,608.0027432457637,292.299207009577
robust_excl,0.75,0.75,796.5546377327014,784.9320682991571,792.0896894006227,866.8363688688073,4210.327713219103,3.255301571524792,763.2623228455827,392.95536812674146
robust_excl,0.75,1.0,823.8742736114428,800.4697267133693,814.6934937952609,888.5628278656089,4230.513772913002,3.320970609062286,787.8513629248703,420.63252260989066
robust_excl,0.75,1.25,838.4180110471482,800.4697267133693,823.4182679739065,896.8995492296098,4236.350855653208,3.347510044120933,799.0464272997361,432.84473022743606
robust_excl,1.0,0.5,655.4326668297743,635.2353243473316,647.4941311515779,714.6330939120031,3638.501212300901,3.1054933559660025,623.4761747907877,310.3402796385536
