top_n,window,start_day,end_day,days,total_pl,mean_pl,std_pl,ann_sharpe,score,worst_day,best_day,positive_day_rate,max_drawdown
15,376-426,376,426,50,14701.57914800003,294.0315829600006,822.9298995158205,5.649384636075434,285.0986739900419,-1245.1068689999993,2081.879154999995,0.58,-3027.6380369999933
15,401-451,401,451,50,19383.379013000056,387.6675802600011,887.1472505884805,6.909295654213754,379.713526634539,-1359.6982579999967,2204.4813539999996,0.62,-2570.630999999994
15,426-476,426,476,50,15293.392789999976,305.8678557999995,888.4402380862018,5.443467359399892,295.88240015795816,-1882.592949000009,2204.4813539999996,0.62,-4416.6273740000215
20,1-51,1,51,50,5791.255840000022,115.82511680000043,660.871825052125,2.7711211573753025,102.47984477873499,-1828.474526,1112.5038979999972,0.6,-2946.029424000013
20,26-76,26,76,50,12923.258179000062,258.4651635800012,805.5665124972563,5.073067214444241,248.79785891197284,-2321.644455000027,1669.077438999997,0.7,-2946.0294240000057
20,51-101,51,101,50,10742.005654999975,214.8401130999995,1094.767789933383,3.102868464030702,194.62518051128018,-3307.957070000004,3012.8420650000116,0.62,-3307.957070000004
20,76-126,76,126,50,17556.936710999926,351.1387342199985,1187.9504934817135,4.6735877502322705,335.7665146207683,-3307.957070000004,3012.8420650000116,0.56,-3307.957070000004
20,101-151,101,151,50,39269.405707999984,785.3881141599996,987.7941372470651,12.571522720774878,780.4499074617768,-1094.7831869999882,2676.532163000007,0.72,-1107.7677969999895
20,126-176,126,176,50,27806.586032000057,556.1317206400012,1111.6614000603397,7.909975628349695,547.383070078474,-2322.6355980000008,2583.557068000009,0.66,-4072.745883999971
20,151-201,151,201,50,25655.573670000067,513.1114734000014,1112.480088829435,7.2927190598810006,503.64163306561227,-2322.635597999999,3090.0026790000084,0.7,-4072.7458839999745
20,176-226,176,226,50,37059.49535200001,741.1899070400002,953.5466721490777,12.290160269199873,736.3151982982297,-1274.9777939999985,3090.0026790000084,0.82,-1558.2711089999902
20,201-251,201,251,50,32107.484417000032,642.1496883400007,1127.0324430003925,9.00886051033122,634.3338038805433,-2251.6794469999913,3693.0611480000007,0.74,-2653.6087159999806
20,226-276,226,276,50,23255.019826000054,465.1003965200011,1171.147429697568,6.279211977737344,453.59612697497,-2251.6794469999913,3693.0611479999934,0.72,-3407.3422399999945
20,251-301,251,301,50,21190.422048999986,423.8084409799997,1030.3150086846354,6.50383598125405,414.02069060300255,-2094.771762999988,2155.8699899999847,0.72,-4194.012170000013
20,276-326,276,326,50,24360.379635999965,487.2075927199993,996.1109428063842,7.733504472816207,479.1952444682776,-1801.8279150000035,2479.756462000005,0.72,-2932.34366699999
20,301-351,301,351,50,24438.26749699989,488.7653499399978,921.9998484457151,8.381843824514668,481.9059961869475,-1851.2553640000006,2931.065964999987,0.78,-2361.260601999991
20,326-376,326,376,50,25750.861330999964,515.0172266199993,985.3266918332743,8.264403490948345,507.5855597569866,-1851.2553640000006,2931.065964999987,0.72,-2361.260601999991
20,351-401,351,401,50,23358.17493500002,467.16349870000045,996.3856750524011,7.413297544183472,458.8148799092012,-1346.449075000004,2714.9177470000213,0.66,-2330.6822139999786
20,376-426,376,426,50,20759.552168000017,415.1910433600003,999.8063442145209,6.566018353038277,405.7789689984986,-1565.8824249999998,2486.091840999994,0.7,-2330.682213999993
20,401-451,401,451,50,21458.824447000014,429.1764889400003,925.3300448887765,7.333465668498828,421.3419016321721,-1565.882424999998,2486.091840999994,0.68,-2026.1124809999892
20,426-476,426,476,50,18647.55795999997,372.9511591999994,853.1333018829422,6.912021348065252,365.3049631176935,-2256.9167550000057,1918.6619300000002,0.64,-3593.6146180000032
25,1-51,1,51,50,2221.2193390000393,44.42438678000079,705.9989758167357,0.9949181988441196,22.099028632030226,-2322.078281000002,1315.5706570000111,0.52,-5156.508720000023
25,26-76,26,76,50,12427.183697000059,248.54367394000118,931.979627472223,4.216637813255551,235.30921078574784,-2322.078281000002,2127.0166350000145,0.62,-5156.508720000022
25,51-101,51,101,50,11690.150257999938,233.80300515999875,1265.331809800148,2.9215657678537004,209.2839066185679,-3322.952530999988,2531.3942880000104,0.6,-4197.686795000005
25,76-126,76,126,50,19853.304172999873,397.06608345999746,1382.9223641175959,4.539781978785511,378.69157822407425,-3322.952530999988,3262.7595299999884,0.62,-4197.686795000005
25,101-151,101,151,50,51826.033965999966,1036.5206793199993,1073.2302968317167,15.270563075755875,1032.094699339871,-1017.6299600000166,3263.0211000000054,0.82,-1667.1380119999922
25,126-176,126,176,50,35463.764002,709.2752800400001,1219.305727491793,9.197551206431369,700.988864836795,-1892.130643000004,3263.0211000000054,0.7,-4941.104855000034
25,151-201,151,201,50,24471.384648999985,489.4276929799997,1270.3618707280264,6.091596006779678,476.5843641151181,-2101.2419590000027,3552.247212999995,0.64,-4941.104855000049
25,176-226,176,226,50,38258.893260000055,765.1778652000011,1082.8428082248586,11.17292764378239,759.0970288030885,-2101.2419590000027,3552.247212999995,0.78,-2101.2419590000027
25,201-251,201,251,50,40392.60130600007,807.8520261200014,1191.6797323984902,10.718703798793747,800.8812109843408,-2605.463510999991,3692.584335999978,0.76,-2780.872164999986
25,226-276,226,276,50,31670.48393100011,633.4096786200022,1287.1701801021868,7.780701058019573,623.1169130790254,-2605.463510999991,3692.584335999978,0.72,-3099.922361000019
25,251-301,251,301,50,26641.28439299996,532.8256878599992,1148.4205047107037,7.335913816289688,523.1053640566457,-2176.7342199999985,2733.9618020000053,0.72,-3742.238798999999
25,276-326,276,326,50,34665.93442299993,693.3186884599986,1090.2641210966199,10.05474800770774,686.5279680043992,-1799.0202640000198,2878.532086999996,0.76,-2269.4967040000283
